Brand,Model,Rank,Benchmark,Samples,URL
AMD,Radeon Vega Frontier Edition Air,41,90.1,1451,https://gpu.userbenchmark.com/AMD-Vega-Frontier-Edition/Rating/3929
Nvidia,RTX 2080 (Mobile Max-Q),42,89.5,4116,https://gpu.userbenchmark.com/SpeedTest/704710/NVIDIA-GeForce-RTX-2080-with-Max-Q-Design
AMD,RX 5600-XT,43,89.3,60191,https://gpu.userbenchmark.com/AMD-RX-5600-XT/Rating/4062
Nvidia,RTX 2060,44,88.6,352805,https://gpu.userbenchmark.com/Nvidia-RTX-2060/Rating/4034
Nvidia,RTX 2070S (Super Mobile Max-Q),45,85.9,901,https://gpu.userbenchmark.com/SpeedTest/1168355/NVIDIA-GeForce-RTX-2070-Super-with-Max-Q-Design
AMD,RX Vega-56,46,84.5,74552,https://gpu.userbenchmark.com/AMD-RX-Vega-56/Rating/3938
Nvidia,GTX 980-Ti,47,80.7,166204,https://gpu.userbenchmark.com/Nvidia-GTX-980-Ti/Rating/3439
Nvidia,RTX 2070 (Mobile Max-Q),48,80,6472,https://gpu.userbenchmark.com/SpeedTest/703511/NVIDIA-GeForce-RTX-2070-with-Max-Q-Design
Nvidia,GTX 1070,49,79.6,1029341,https://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
Nvidia,GTX Titan X,50,79.1,13727,https://gpu.userbenchmark.com/Nvidia-GTX-Titan-X/Rating/3282
Nvidia,GTX 1080 (Mobile Max-Q),51,78.1,2286,https://gpu.userbenchmark.com/SpeedTest/308045/NVIDIA-GeForce-GTX-1080-with-Max-Q-Design
Nvidia,GTX 1660-Ti,52,76.6,179175,https://gpu.userbenchmark.com/Nvidia-GTX-1660-Ti/Rating/4037
Nvidia,Quadro M6000 24GB,53,75.3,220,https://gpu.userbenchmark.com/SpeedTest/145751/NVIDIA-Quadro-M6000-24GB
Nvidia,Quadro M6000,54,74.8,338,https://gpu.userbenchmark.com/SpeedTest/36278/NVIDIA-Quadro-M6000
Nvidia,GTX 1660S (Super),55,71.2,178674,https://gpu.userbenchmark.com/Nvidia-GTX-1660S-Super/Rating/4056
Nvidia,RTX 2060 (Mobile),56,71,50052,https://gpu.userbenchmark.com/SpeedTest/701609/NVIDIA-GeForce-RTX-2060
Nvidia,GTX 1070 (Mobile),57,70.6,69010,https://gpu.userbenchmark.com/SpeedTest/164129/NVIDIA-GeForce-GTX-1070
Nvidia,GTX 1660,58,68.6,131487,https://gpu.userbenchmark.com/Nvidia-GTX-1660/Rating/4038
Nvidia,Quadro P4000,59,67.8,8151,https://gpu.userbenchmark.com/SpeedTest/250990/NVIDIA-Quadro-P4000
Nvidia,Quadro P5000-M (Mobile),60,67,494,https://gpu.userbenchmark.com/SpeedTest/249248/NVIDIA-Quadro-P5000
AMD,R9 Fury-X,61,66.9,4347,https://gpu.userbenchmark.com/AMD-R9-Fury-X/Rating/3498
Nvidia,GTX 1660-Ti (Mobile),62,65.2,37036,https://gpu.userbenchmark.com/SpeedTest/776281/NVIDIA-GeForce-GTX-1660-Ti
AMD,R9 Fury,63,63.5,12698,https://gpu.userbenchmark.com/AMD-R9-Fury/Rating/3509
Nvidia,GTX 1070 (Mobile Max-Q),64,61.2,5763,https://gpu.userbenchmark.com/SpeedTest/301524/NVIDIA-GeForce-GTX-1070-with-Max-Q-Design
Nvidia,GTX 980,65,60.7,129803,https://gpu.userbenchmark.com/Nvidia-GTX-980/Rating/2576
Nvidia,GTX 1650S (Super),66,60.4,73712,https://gpu.userbenchmark.com/Nvidia-GTX-1650S-Super/Rating/4058
AMD,RX 590,67,60.3,72163,https://gpu.userbenchmark.com/AMD-RX-590/Rating/4033
Nvidia,GTX Titan Z (SLI Disabled),68,58.8,646,https://gpu.userbenchmark.com/SpeedTest/17751/NVIDIA-GeForce-GTX-TITAN-Z
